2026-03-14 14:29:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=415ms
2026-03-14 14:29:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=584ms
2026-03-14 14:29:55 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=603ms
2026-03-14 14:30:01 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=1422ms
2026-03-14 14:30:25 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=670ms
2026-03-14 14:31:07 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=500 | time=552ms
2026-03-14 14:31:11 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=799ms
2026-03-14 14:31:11 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=17ms
2026-03-14 14:31:12 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=123ms
2026-03-14 14:31:12 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=211ms
2026-03-14 14:35:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=761ms
2026-03-14 14:35:39 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=1527ms
2026-03-14 14:35:39 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=1559ms
2026-03-14 14:35:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=1456ms
2026-03-14 14:35:54 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=12ms
2026-03-14 14:35:55 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=120ms
2026-03-14 14:35:55 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=108ms
2026-03-14 14:43:01 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=430ms
2026-03-14 14:43:02 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=1076ms
2026-03-14 14:43:02 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=1152ms
2026-03-14 14:43:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=2859ms
2026-03-14 14:43:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=105ms
2026-03-14 14:43:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=270ms
2026-03-14 14:43:19 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=277ms
2026-03-14 14:44:02 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=976ms
2026-03-14 14:44:03 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=31ms
2026-03-14 14:44:03 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=181ms
2026-03-14 14:44:03 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=197ms
2026-03-14 14:44:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=929ms
2026-03-14 14:44:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/auth-summary-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=13ms
2026-03-14 14:44:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/users-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=164ms
2026-03-14 14:44:38 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=narsing_patil_5051 | GET /api/v1/reports/user-roles-data | IP=0:0:0:0:0:0:0:1 | status=200 | time=182ms
2026-03-14 14:58:51 INFO  c.e.e.i.AuditLoggingInterceptor - [AUDIT] user=anonymous | POST /api/v1/auth/login | IP=0:0:0:0:0:0:0:1 | status=200 | time=954ms
